,location,size,total_sqft,bath,price
79,5th Phase JP Nagar,2.0,1030.0,2.0,57.0
80,5th Phase JP Nagar,2.0,1200.0,2.0,68.0
81,5th Phase JP Nagar,2.0,1190.0,2.0,61.8
82,5th Phase JP Nagar,5.0,4000.0,5.0,170.0
83,5th Phase JP Nagar,2.0,1080.0,2.0,53.0
84,5th Phase JP Nagar,2.0,1041.0,2.0,54.0
85,5th Phase JP Nagar,2.0,812.0,2.0,42.0
86,5th Phase JP Nagar,2.0,1010.0,2.0,57.0
87,5th Phase JP Nagar,3.0,1450.0,2.0,73.0
88,5th Phase JP Nagar,2.0,1075.0,2.0,60.0
89,6th Phase JP Nagar,2.0,1192.0,2.0,74.0
90,6th Phase JP Nagar,2.0,1180.0,2.0,80.0
91,6th Phase JP Nagar,4.0,3245.0,4.0,250.0
93,6th Phase JP Nagar,2.0,1140.0,2.0,65.0
95,6th Phase JP Nagar,2.0,1213.0,2.0,63.0
96,6th Phase JP Nagar,2.0,1216.0,2.0,60.0
97,6th Phase JP Nagar,2.0,1460.0,2.0,80.0
101,6th Phase JP Nagar,2.0,1192.0,2.0,75.0
102,6th Phase JP Nagar,2.0,1280.0,2.0,88.0
103,7th Phase JP Nagar,2.0,1080.0,2.0,72.0
104,7th Phase JP Nagar,2.0,1270.0,2.0,93.0
107,7th Phase JP Nagar,2.0,1245.0,2.0,94.0
108,7th Phase JP Nagar,2.0,1175.0,2.0,82.0
111,7th Phase JP Nagar,2.0,1050.0,2.0,71.0
112,7th Phase JP Nagar,2.0,1100.0,2.0,46.0
113,7th Phase JP Nagar,2.0,918.0,2.0,50.49
115,7th Phase JP Nagar,2.0,1190.0,2.0,49.98
118,7th Phase JP Nagar,2.0,980.0,2.0,69.0
119,7th Phase JP Nagar,2.0,1180.0,2.0,72.0
120,7th Phase JP Nagar,3.0,1050.0,2.0,57.0
121,7th Phase JP Nagar,3.0,1343.0,2.0,56.41
122,7th Phase JP Nagar,3.0,1405.0,2.0,59.01
124,7th Phase JP Nagar,2.0,1270.0,2.0,83.0
125,7th Phase JP Nagar,4.0,3300.0,4.0,150.0
128,7th Phase JP Nagar,3.0,1250.0,3.0,65.0
129,7th Phase JP Nagar,3.0,1385.0,2.0,58.17
135,7th Phase JP Nagar,2.0,1175.0,2.0,82.5
136,7th Phase JP Nagar,3.0,3300.0,4.0,160.0
137,7th Phase JP Nagar,3.0,2200.0,4.0,105.0
138,7th Phase JP Nagar,2.0,1215.0,2.0,90.0
139,7th Phase JP Nagar,2.0,1050.0,2.0,75.0
141,7th Phase JP Nagar,2.0,1130.0,2.0,73.0
143,7th Phase JP Nagar,3.0,1350.0,3.0,58.0
144,7th Phase JP Nagar,2.0,1050.0,2.0,50.0
145,7th Phase JP Nagar,2.0,1275.0,2.0,87.0
146,7th Phase JP Nagar,3.0,1460.0,3.0,70.0
148,7th Phase JP Nagar,2.0,850.0,2.0,42.0
151,7th Phase JP Nagar,2.0,1236.0,2.0,61.33
152,7th Phase JP Nagar,2.0,1000.0,2.0,53.0
155,7th Phase JP Nagar,2.0,1187.0,2.0,59.0
157,7th Phase JP Nagar,2.0,1000.0,2.0,61.0
160,7th Phase JP Nagar,2.0,1200.0,2.0,62.5
161,7th Phase JP Nagar,2.0,1000.0,2.0,70.65
162,7th Phase JP Nagar,2.0,1080.0,2.0,75.0
163,7th Phase JP Nagar,3.0,1415.0,3.0,65.0
166,7th Phase JP Nagar,2.0,1120.0,2.0,65.0
167,7th Phase JP Nagar,2.0,1100.0,3.0,60.0
170,7th Phase JP Nagar,2.0,1050.0,2.0,77.0
171,7th Phase JP Nagar,2.0,1050.0,2.0,75.0
172,7th Phase JP Nagar,2.0,1040.0,2.0,75.0
175,7th Phase JP Nagar,2.0,1050.0,2.0,68.0
176,7th Phase JP Nagar,2.0,1000.0,2.0,60.0
178,7th Phase JP Nagar,2.0,1050.0,2.0,77.47
179,7th Phase JP Nagar,2.0,1270.0,2.0,80.0
180,7th Phase JP Nagar,3.0,1463.0,2.0,61.45
182,7th Phase JP Nagar,2.0,1130.0,2.0,85.0
184,7th Phase JP Nagar,2.0,980.0,2.0,77.44
186,7th Phase JP Nagar,3.0,1515.0,2.0,76.0
194,7th Phase JP Nagar,3.0,1075.0,2.0,57.0
195,7th Phase JP Nagar,1.0,750.0,1.0,47.0
196,7th Phase JP Nagar,2.0,990.0,2.0,50.0
197,7th Phase JP Nagar,1.0,1000.0,1.0,60.0
198,7th Phase JP Nagar,3.0,1680.0,2.0,92.0
200,7th Phase JP Nagar,2.0,1128.0,2.0,60.0
201,7th Phase JP Nagar,2.0,1140.0,2.0,57.0
203,7th Phase JP Nagar,2.0,1530.0,2.0,108.0
204,8th Phase JP Nagar,2.0,1073.5,2.0,54.005
205,8th Phase JP Nagar,1.0,451.0,1.0,29.9
206,8th Phase JP Nagar,3.0,1240.0,3.0,43.5
207,8th Phase JP Nagar,2.0,1062.0,2.0,42.47
208,8th Phase JP Nagar,3.0,1230.0,2.0,43.5
210,8th Phase JP Nagar,2.0,871.0,2.0,55.0
211,8th Phase JP Nagar,2.0,1098.0,2.0,43.91
214,8th Phase JP Nagar,2.0,1080.0,2.0,38.0
215,8th Phase JP Nagar,2.0,1059.0,2.0,34.5
216,8th Phase JP Nagar,2.0,1080.0,2.0,35.0
217,8th Phase JP Nagar,3.0,1275.0,2.0,41.5
218,8th Phase JP Nagar,2.0,1062.0,2.0,42.47
219,8th Phase JP Nagar,1.0,500.0,1.0,31.0
220,8th Phase JP Nagar,2.0,1100.0,2.0,35.0
222,8th Phase JP Nagar,2.0,1035.0,2.0,39.33
223,8th Phase JP Nagar,2.0,909.0,2.0,40.9
226,8th Phase JP Nagar,1.0,500.0,1.0,30.0
227,8th Phase JP Nagar,2.0,1125.0,2.0,36.94
228,8th Phase JP Nagar,2.0,1100.0,2.0,35.0
229,8th Phase JP Nagar,2.0,1089.0,2.0,43.55
230,8th Phase JP Nagar,3.0,1605.0,2.0,65.0
233,8th Phase JP Nagar,3.0,1368.0,2.0,54.71
234,8th Phase JP Nagar,2.0,1089.0,2.0,43.55
235,8th Phase JP Nagar,3.0,1224.0,2.0,48.95
236,8th Phase JP Nagar,2.0,1513.0,2.0,62.0
237,8th Phase JP Nagar,2.0,1298.0,2.0,59.0
238,8th Phase JP Nagar,2.0,1006.0,2.0,44.0
239,8th Phase JP Nagar,1.0,500.0,1.0,33.0
240,8th Phase JP Nagar,2.0,1160.0,2.0,95.0
241,8th Phase JP Nagar,2.0,1245.0,2.0,59.0
242,8th Phase JP Nagar,2.0,1510.0,2.0,80.0
244,8th Phase JP Nagar,5.0,1730.0,5.0,75.0
245,8th Phase JP Nagar,3.0,1296.0,2.0,51.83
246,8th Phase JP Nagar,3.0,1275.0,3.0,45.0
247,8th Phase JP Nagar,2.0,1046.0,2.0,48.0
248,8th Phase JP Nagar,3.0,1269.0,2.0,50.75
250,8th Phase JP Nagar,3.0,1500.0,2.0,55.0
251,9th Phase JP Nagar,2.0,1005.0,2.0,50.0
252,9th Phase JP Nagar,3.0,1890.0,2.0,85.0
253,9th Phase JP Nagar,2.0,1100.0,2.0,65.0
254,9th Phase JP Nagar,2.0,1080.0,2.0,37.0
255,9th Phase JP Nagar,2.0,1035.0,2.0,45.0
257,9th Phase JP Nagar,2.0,1164.0,2.0,56.0
258,9th Phase JP Nagar,2.0,1005.0,2.0,42.0
259,9th Phase JP Nagar,2.0,1127.0,2.0,50.0
260,9th Phase JP Nagar,2.0,1005.0,2.0,43.0
261,9th Phase JP Nagar,2.0,835.0,2.0,37.0
262,9th Phase JP Nagar,2.0,1050.0,2.0,39.0
263,9th Phase JP Nagar,2.0,660.0,2.0,27.0
264,9th Phase JP Nagar,1.0,600.0,1.0,20.0
265,9th Phase JP Nagar,2.0,1466.0,2.0,71.0
267,9th Phase JP Nagar,2.0,1079.0,2.0,60.0
268,9th Phase JP Nagar,2.0,1480.0,2.0,80.0
269,9th Phase JP Nagar,2.0,1200.0,2.0,80.0
270,9th Phase JP Nagar,2.0,905.0,2.0,32.0
271,9th Phase JP Nagar,2.0,1073.0,2.0,52.36
274,9th Phase JP Nagar,3.0,1300.0,2.0,58.0
276,9th Phase JP Nagar,3.0,1571.0,3.0,65.0
277,9th Phase JP Nagar,4.0,1900.0,4.0,80.0
278,9th Phase JP Nagar,2.0,890.0,2.0,45.0
279,9th Phase JP Nagar,3.0,1240.0,2.0,39.89
281,9th Phase JP Nagar,3.0,1240.0,2.0,42.85
282,9th Phase JP Nagar,2.0,1050.0,2.0,35.0
283,9th Phase JP Nagar,2.0,1331.95,2.0,69.0
284,AECS Layout,2.0,1100.0,2.0,45.0
285,AECS Layout,2.0,1028.0,2.0,42.0
286,AECS Layout,2.0,1199.0,2.0,65.0
287,AECS Layout,2.0,1080.0,2.0,55.0
288,AECS Layout,2.0,1123.0,2.0,64.0
289,AECS Layout,2.0,1308.0,2.0,60.0
290,AECS Layout,2.0,1005.0,2.0,55.0
291,AECS Layout,3.0,2000.0,3.0,90.0
292,Abbigere,2.0,985.0,2.0,40.39
293,Abbigere,6.0,2200.0,6.0,68.0
294,Abbigere,1.0,765.0,2.0,30.0
295,Abbigere,2.0,880.0,2.0,35.0
296,Abbigere,2.0,795.0,2.0,32.54
297,Abbigere,2.0,1005.0,2.0,39.59
298,Abbigere,1.0,734.0,1.0,19.82
299,Abbigere,3.0,1260.0,2.0,45.0
300,Abbigere,2.0,1020.0,2.0,41.82
301,Abbigere,3.0,1326.0,2.0,34.8
302,Abbigere,3.0,1326.0,2.0,35.0
303,Abbigere,2.0,985.0,2.0,40.39
304,Abbigere,6.0,2500.0,6.0,81.0
305,Abbigere,2.0,795.0,2.0,32.54
306,Abbigere,2.0,1130.0,2.0,46.33
307,Abbigere,2.0,795.0,1.0,32.6
308,Abbigere,8.0,3000.0,8.0,150.0
309,Abbigere,2.0,985.0,2.0,38.92
310,Abbigere,2.0,1000.0,2.0,41.0
311,Abbigere,2.0,995.0,2.0,40.8
312,Abbigere,2.0,1020.0,2.0,40.8
313,Akshaya Nagar,2.0,1388.0,2.0,57.0
314,Akshaya Nagar,2.0,1070.0,2.0,54.0
315,Akshaya Nagar,2.0,1280.0,2.0,58.0
320,Akshaya Nagar,3.0,1600.0,2.0,65.0
324,Akshaya Nagar,2.0,1280.0,2.0,60.0
329,Akshaya Nagar,2.0,1280.0,2.0,60.0
330,Akshaya Nagar,2.0,1200.0,2.0,50.0
331,Akshaya Nagar,2.0,1092.0,2.0,60.0
333,Akshaya Nagar,3.0,1700.0,3.0,80.0
336,Akshaya Nagar,2.0,1314.0,2.0,68.8
338,Akshaya Nagar,2.0,1265.0,2.0,67.0
339,Akshaya Nagar,2.0,1126.0,2.0,55.0
340,Akshaya Nagar,3.0,2300.0,4.0,102.0
346,Akshaya Nagar,3.0,2650.0,3.0,125.0
348,Akshaya Nagar,2.0,1300.0,2.0,54.0
350,Akshaya Nagar,2.0,1113.0,2.0,52.0
352,Akshaya Nagar,2.0,1100.0,2.0,48.0
354,Akshaya Nagar,2.0,1300.0,2.0,66.0
355,Akshaya Nagar,2.0,1225.0,2.0,68.0
356,Akshaya Nagar,2.0,1179.0,2.0,51.0
359,Akshaya Nagar,2.0,900.0,2.0,45.0
360,Ambalipura,2.0,1105.0,2.0,75.0
362,Ambalipura,2.0,1150.0,2.0,80.0
363,Ambalipura,2.0,1250.0,2.0,66.25
364,Ambalipura,2.0,1332.0,2.0,79.0
366,Ambalipura,3.0,3500.0,3.0,198.0
367,Ambalipura,2.0,1230.0,2.0,66.25
368,Ambalipura,2.0,1351.0,2.0,77.0
369,Ambalipura,4.0,2550.0,4.0,149.0
370,Ambalipura,3.0,1817.0,3.0,102.0
371,Ambalipura,4.0,2750.0,4.0,142.0
372,Ambalipura,2.0,1303.0,2.0,80.0
374,Ambalipura,1.0,770.0,1.0,43.82
375,Ambalipura,2.0,1700.0,2.0,76.0
376,Ambalipura,2.0,1060.0,2.0,58.5
379,Ambalipura,2.0,1198.0,2.0,80.0
380,Ambedkar Nagar,3.0,1935.0,4.0,130.0
381,Ambedkar Nagar,2.0,1424.0,2.0,90.0
382,Ambedkar Nagar,3.0,2225.0,4.0,169.0
383,Ambedkar Nagar,3.0,1862.0,3.0,120.0
384,Ambedkar Nagar,3.0,1850.0,4.0,139.0
385,Ambedkar Nagar,3.0,1936.0,4.0,126.0
386,Ambedkar Nagar,3.0,1862.0,3.0,119.0
387,Ambedkar Nagar,2.0,1424.0,2.0,90.0
388,Ambedkar Nagar,3.0,2150.0,4.0,125.0
390,Ambedkar Nagar,3.0,1856.0,3.0,120.0
391,Ambedkar Nagar,3.0,1852.0,3.0,130.0
392,Ambedkar Nagar,3.0,1850.0,4.0,120.0
393,Ambedkar Nagar,2.0,1367.0,2.0,86.0
395,Ambedkar Nagar,2.0,1409.0,2.0,95.0
396,Ambedkar Nagar,3.0,1950.0,4.0,120.0
397,Ambedkar Nagar,3.0,1921.0,4.0,129.0
398,Ambedkar Nagar,3.0,1920.0,4.0,121.0
399,Ambedkar Nagar,3.0,1935.0,4.0,125.0
400,Ambedkar Nagar,3.0,1852.0,4.0,122.0
401,Ambedkar Nagar,3.0,1950.0,4.0,120.0
402,Ambedkar Nagar,3.0,1852.0,3.0,125.0
403,Ambedkar Nagar,3.0,1850.0,4.0,121.0
404,Ambedkar Nagar,2.0,1425.0,2.0,94.0
405,Ambedkar Nagar,3.0,2395.0,4.0,150.0
406,Amruthahalli,2.0,900.0,2.0,40.0
407,Amruthahalli,2.0,1200.0,2.0,55.0
409,Amruthahalli,2.0,924.0,2.0,45.0
410,Amruthahalli,2.0,900.0,2.0,60.0
411,Amruthahalli,2.0,1100.0,2.0,45.0
412,Amruthahalli,2.0,1200.0,2.0,55.0
413,Amruthahalli,3.0,1350.0,2.0,63.0
414,Amruthahalli,3.0,1605.0,3.0,65.0
415,Amruthahalli,3.0,1700.0,3.0,77.0
417,Amruthahalli,2.0,1200.0,2.0,55.0
418,Amruthahalli,2.0,1250.0,2.0,79.0
419,Amruthahalli,2.0,1190.0,2.0,50.0
420,Amruthahalli,2.0,1202.0,2.0,65.0
421,Amruthahalli,2.0,1340.0,2.0,75.0
424,Amruthahalli,2.0,1025.0,2.0,42.0
425,Amruthahalli,1.0,485.0,1.0,19.5
426,Anandapura,2.0,1167.0,2.0,43.76
427,Anandapura,2.0,1000.0,2.0,55.0
428,Anandapura,2.0,1141.0,2.0,42.79
429,Anandapura,3.0,1576.0,3.0,59.1
430,Anandapura,2.0,1200.0,2.0,67.0
431,Anandapura,2.0,1200.0,2.0,58.0
432,Anandapura,2.0,1151.0,2.0,43.1
433,Anandapura,2.0,1141.0,2.0,42.75
434,Anandapura,2.0,900.0,2.0,48.0
435,Anandapura,4.0,1749.0,4.0,90.0
436,Anandapura,2.0,1151.0,2.0,42.9
437,Anandapura,3.0,1576.0,3.0,58.0
438,Anandapura,2.0,1250.0,2.0,45.0
439,Anandapura,2.0,1151.0,2.0,43.16
440,Anandapura,2.0,1200.0,2.0,58.0
443,Anandapura,2.0,1200.0,2.0,50.0
444,Anandapura,2.0,1141.0,2.0,50.0
445,Anandapura,3.0,1576.0,3.0,58.7
446,Ananth Nagar,1.0,500.0,1.0,14.0
447,Ananth Nagar,2.0,1100.0,2.0,31.5
448,Ananth Nagar,2.0,982.0,2.0,24.55
449,Ananth Nagar,1.0,500.0,2.0,14.0
450,Ananth Nagar,2.0,900.0,2.0,22.5
451,Ananth Nagar,2.0,908.0,2.0,26.0
452,Ananth Nagar,2.0,870.0,2.0,36.0
453,Ananth Nagar,2.0,937.0,2.0,35.0
454,Ananth Nagar,2.0,960.0,2.0,37.0
455,Ananth Nagar,1.0,500.0,1.0,14.0
456,Ananth Nagar,2.0,1000.0,2.0,29.7
457,Ananth Nagar,2.0,850.0,2.0,25.99
458,Ananth Nagar,2.0,902.0,2.0,25.26
460,Ananth Nagar,2.0,810.0,2.0,25.5
461,Ananth Nagar,2.0,890.0,2.0,27.0
462,Ananth Nagar,2.0,1200.0,2.0,36.0
463,Ananth Nagar,3.0,1319.0,3.0,37.75
465,Ananth Nagar,2.0,1000.0,2.0,25.0
466,Ananth Nagar,2.0,902.0,2.0,25.0
467,Ananth Nagar,2.0,930.0,2.0,25.99
468,Ananth Nagar,2.0,1074.0,2.0,26.85
469,Ananth Nagar,1.0,500.0,1.0,14.0
470,Ananth Nagar,2.0,1010.0,2.0,38.0
471,Ananth Nagar,2.0,992.0,2.0,24.8
472,Anekal,2.0,1200.0,1.0,36.0
473,Anekal,2.0,656.0,2.0,22.0
474,Anekal,2.0,620.0,2.0,22.0
475,Anekal,1.0,600.0,1.0,16.5
476,Anekal,2.0,925.0,2.0,40.0
477,Anekal,1.0,530.0,1.0,18.0
479,Anekal,2.0,1200.0,1.0,36.0
480,Anekal,2.0,1035.0,2.0,38.3
481,Anekal,2.0,888.0,2.0,34.0
482,Anekal,2.0,1200.0,2.0,36.1
483,Anekal,2.0,700.0,1.0,19.4
484,Anekal,2.0,1200.0,1.0,36.0
485,Anekal,4.0,1200.0,2.0,36.0
486,Anekal,2.0,766.0,2.0,28.0
488,Anekal,2.0,620.0,1.0,23.5
490,Anekal,2.0,1200.0,1.0,36.0
491,Anekal,2.0,1200.0,1.0,36.0
492,Anekal,1.0,400.0,1.0,11.5
493,Anekal,1.0,456.0,1.0,15.0
494,Anekal,2.0,1200.0,1.0,36.0
495,Anekal,2.0,1200.0,1.0,36.0
497,Anekal,2.0,1200.0,2.0,36.1
498,Anekal,2.0,1200.0,2.0,36.1
499,Anekal,2.0,680.0,1.0,21.0
500,Anekal,1.0,420.0,1.0,12.5
501,Anekal,2.0,614.0,1.0,28.0
502,Anekal,2.0,1140.0,2.0,52.0
503,Anekal,2.0,625.0,1.0,25.0
504,Anjanapura,4.0,1850.0,4.0,86.0
505,Anjanapura,2.0,1070.0,2.0,39.0
507,Anjanapura,2.0,1070.0,2.0,37.0
508,Anjanapura,2.0,950.0,2.0,40.0
510,Anjanapura,2.0,710.0,2.0,25.0
511,Anjanapura,3.0,1347.0,2.0,37.72
512,Anjanapura,2.0,950.0,2.0,32.0
513,Anjanapura,4.0,1800.0,4.0,55.0
515,Anjanapura,2.0,1076.0,2.0,30.13
516,Anjanapura,2.0,950.0,2.0,30.0
517,Ardendale,3.0,1750.0,3.0,100.0
520,Ardendale,3.0,1750.0,3.0,100.0
522,Ardendale,3.0,1728.0,3.0,95.0
524,Ardendale,3.0,1732.46,3.0,92.0
526,Ardendale,4.0,2800.0,4.0,140.0
527,Ardendale,2.0,1224.0,2.0,70.0
528,Ardendale,3.0,1777.26,3.0,105.0
529,Ardendale,3.0,1650.0,3.0,82.0
531,Ardendale,3.0,1650.0,3.0,82.0
532,Ardendale,2.0,1224.0,2.0,67.0
533,Ardendale,3.0,1723.0,3.0,95.0
534,Ardendale,3.0,1777.26,3.0,89.0
535,Ardendale,3.0,1777.26,3.0,92.0
537,Arekere,2.0,920.0,2.0,40.0
539,Arekere,2.0,1190.0,2.0,55.0
540,Arekere,1.0,600.0,1.0,28.0
542,Arekere,2.0,1100.0,2.0,55.0
543,Arekere,2.0,900.0,2.0,50.0
544,Arekere,4.0,2710.0,6.0,142.0
545,Arekere,2.0,1240.0,2.0,60.0
546,Arekere,2.0,900.0,2.0,44.5
547,Attibele,1.0,450.0,1.0,11.0
548,Attibele,4.0,1600.0,4.0,52.8
550,Attibele,1.0,400.0,1.0,11.0
551,Attibele,1.0,400.0,1.0,12.0
552,Attibele,1.0,400.0,1.0,14.0
553,Attibele,1.0,500.0,1.0,17.0
554,Attibele,4.0,2168.0,4.0,95.0
555,Attibele,1.0,395.0,1.0,10.25
556,Attibele,1.0,420.0,1.0,17.0
557,Attibele,3.0,1639.0,2.0,40.98
558,Attibele,1.0,418.0,1.0,12.0
560,Attibele,1.0,400.0,1.0,10.0
564,Attibele,1.0,450.0,1.0,12.5
565,Attibele,2.0,995.0,1.0,24.88
566,Attibele,2.0,900.0,1.0,25.0
567,Attibele,2.0,1174.0,2.0,29.35
568,Attibele,1.0,782.0,1.0,19.55
569,Attibele,2.0,1175.0,2.0,29.38
571,Attibele,1.0,400.0,1.0,11.5
572,Attibele,1.0,460.0,1.0,13.0
573,Attibele,1.0,418.0,2.0,11.5
575,Attibele,1.0,550.0,1.0,11.5
576,Attibele,2.0,996.0,2.0,24.9
577,Attibele,1.0,410.0,1.0,10.0
579,Attibele,1.0,400.0,1.0,10.25
582,Attibele,1.0,520.0,1.0,15.0
583,BEML Layout,2.0,1060.0,2.0,55.0
584,BEML Layout,3.0,2000.0,3.0,85.0
585,BEML Layout,2.0,999.0,2.0,45.0
586,BEML Layout,5.0,2400.0,4.0,225.0
587,BEML Layout,3.0,2000.0,2.0,85.0
588,BEML Layout,2.0,1194.0,2.0,65.0
589,BEML Layout,2.0,1200.0,2.0,67.0
590,BEML Layout,2.0,2400.0,2.0,228.0
591,BEML Layout,3.0,2000.0,3.0,85.0
592,BEML Layout,3.0,2000.0,3.0,85.0
593,BEML Layout,2.0,1194.0,2.0,65.0
595,BTM 2nd Stage,2.0,950.0,2.0,52.0
597,BTM 2nd Stage,2.0,1200.0,2.0,80.0
598,BTM 2nd Stage,2.0,1274.0,2.0,70.0
599,BTM 2nd Stage,3.0,1250.0,3.0,50.0
600,BTM 2nd Stage,2.0,1070.0,2.0,48.0
601,BTM 2nd Stage,2.0,1280.0,2.0,80.0
602,BTM 2nd Stage,2.0,1100.0,2.0,70.0
603,BTM 2nd Stage,2.0,1000.0,2.0,58.0
604,BTM 2nd Stage,5.0,2990.0,5.0,416.0
605,BTM 2nd Stage,2.0,1265.0,2.0,55.0
609,BTM 2nd Stage,2.0,965.0,2.0,56.0
610,BTM 2nd Stage,2.0,1147.0,2.0,75.0
612,BTM 2nd Stage,2.0,1400.0,2.0,90.0
613,BTM 2nd Stage,2.0,1200.0,2.0,70.0
614,BTM 2nd Stage,2.0,1100.0,2.0,47.0
615,BTM 2nd Stage,2.0,930.0,2.0,46.0
616,BTM 2nd Stage,3.0,1265.0,2.0,55.0
618,BTM Layout,2.0,1150.0,2.0,63.0
619,BTM Layout,6.0,3300.0,6.0,165.0
620,BTM Layout,3.0,1450.0,2.0,81.0
621,BTM Layout,3.0,1776.0,2.0,75.0
622,BTM Layout,3.0,1458.0,3.0,79.0
623,BTM Layout,2.0,935.0,2.0,51.5
624,BTM Layout,2.0,1020.0,2.0,46.5
625,BTM Layout,3.0,1600.0,3.0,112.0
626,BTM Layout,3.0,1300.0,2.0,75.0
627,BTM Layout,3.0,1540.0,2.0,78.0
628,BTM Layout,1.0,450.0,1.0,20.0
629,BTM Layout,2.0,1196.0,2.0,56.81
630,BTM Layout,3.0,1470.0,2.0,99.0
631,Babusapalaya,3.0,1358.0,2.0,43.4
632,Babusapalaya,3.0,1213.0,2.0,41.39
634,Babusapalaya,3.0,1167.0,2.0,39.98
636,Babusapalaya,2.0,1141.0,2.0,46.0
637,Babusapalaya,2.0,1500.0,2.0,57.0
638,Babusapalaya,3.0,1453.0,2.0,43.59
639,Babusapalaya,2.0,1050.0,2.0,45.0
640,Babusapalaya,2.0,1141.0,2.0,45.9
641,Babusapalaya,3.0,1358.0,2.0,43.1
643,Babusapalaya,2.0,1105.0,2.0,40.0
645,Babusapalaya,2.0,1450.0,2.0,55.99
646,Babusapalaya,2.0,1100.0,2.0,38.0
647,Babusapalaya,3.0,1213.0,2.0,36.37
648,Babusapalaya,2.0,1061.0,2.0,33.84
649,Babusapalaya,2.0,1061.0,2.0,38.95
